funcion,estudios,experiencia,ubicacion,skills,tecnologias_aptitudes,idiomas,vacaciones,beneficios,portal_empleo,salario_medio,modalidad_Híbrido,modalidad_Presencial,modalidad_Remoto,jornada_Jornada completa,jornada_Media jornada,jornada_Por horas,contrato_Indefinido,contrato_Otros,contrato_Prácticas,contrato_Temporal
43729.166666666664,0,1.0,0,0,2,1,23.2,0,0,33300.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
22500.0,0,0.0,0,0,1,1,25.6,0,0,43000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,16,0,25.6,0,0,38100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36131.57894736842,1,2.0,0,0,6,0,22.6,0,0,24900.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36411.42857142857,1,1.0,0,0,9,1,22.6,0,0,27000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
36411.42857142857,1,1.0,0,0,9,0,22.6,0,0,27000.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
38300.0,1,3.0,0,0,8,0,28.0,0,0,39000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,4,0,23.2,0,0,35400.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,10,1,23.2,0,0,35400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,3,0,23.2,0,0,41976.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,2,0,23.2,0,0,36000.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,2,0,25.6,0,0,34500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,8,0,25.6,0,0,37500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,8,1,23.2,0,0,40500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,4,1,25.6,0,0,34500.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
26961.764705882353,1,2.0,0,0,3,1,25.6,0,0,850.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
34858.20895522388,1,3.0,0,0,7,1,25.6,0,0,36000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42000.0,1,1.0,0,0,4,1,24.2,0,0,22600.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,14,0,25.6,0,0,40500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36000.0,1,3.0,0,0,4,0,22.6,0,0,36000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
49692.307692307695,1,5.0,0,0,4,0,23.8,0,0,41700.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,1.0,0,0,4,1,25.6,0,0,22600.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38736.11111111111,1,3.0,0,0,9,1,23.0,0,0,39000.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36131.57894736842,1,2.0,0,0,3,0,22.6,0,0,27000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,3.0,0,0,2,1,23.8,0,0,33900.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36411.42857142857,1,3.0,0,0,10,1,22.6,0,0,35400.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21000.0,1,1.0,0,0,3,0,25.6,0,0,23900.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,8,1,23.2,0,0,37800.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50750.0,1,2.0,0,0,8,0,23.8,0,0,29100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,8,1,23.2,0,0,31500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,5.0,0,0,7,0,25.6,0,0,42432.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
37650.0,1,3.0,0,0,7,0,27.8,0,0,40500.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,5.0,0,0,3,1,23.8,0,0,40200.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,2.0,0,0,3,1,25.6,0,0,40800.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,4,1,25.6,0,0,31500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
66041.66666666667,1,2.0,0,0,2,0,23.8,0,0,28200.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42673.913043478264,1,5.0,0,0,5,0,24.4,0,0,37500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,5.0,0,0,13,0,23.8,0,0,43500.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43729.166666666664,1,3.0,0,0,6,0,23.2,0,0,39600.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
48728.57142857143,1,5.0,0,0,3,1,23.8,0,0,46500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
34858.20895522388,1,3.0,0,0,8,1,25.6,0,0,37800.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
38700.0,1,2.0,0,0,1,1,23.0,0,0,35100.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42000.0,1,1.0,0,0,2,1,24.2,0,0,42000.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36411.42857142857,1,3.0,0,0,3,0,22.6,0,0,34500.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53142.857142857145,1,5.0,0,0,13,0,23.8,0,0,43500.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
53142.857142857145,1,5.0,0,0,7,1,23.8,0,0,42432.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
43854.6875,1,3.0,0,0,5,1,23.2,0,0,47600.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
42673.913043478264,1,3.0,0,0,3,0,24.4,0,0,41976.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
21000.0,1,2.0,0,0,3,0,25.6,0,0,40800.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
